City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,40.32,66,74,2.39,CL,1698708465
1,el banco,9.0011,-73.9758,79.48,87,66,4.36,CO,1698708466
2,constantia,44.1833,28.65,50.68,75,0,8.05,RO,1698708468
3,chibougamau,49.9168,-74.3659,22.62,93,0,5.75,CA,1698708469
4,burgersdorp,-30.9977,26.3286,50.77,69,100,5.44,ZA,1698708470
5,wamba,8.9333,8.6,77.68,68,84,2.04,NG,1698708471
6,mersa matruh,31.3525,27.2453,74.43,73,98,9.15,EG,1698708472
7,ushuaia,-54.8,-68.3,38.86,65,75,20.71,AR,1698708473
8,aasiaat,68.7098,-52.8699,28.4,75,7,21.81,GL,1698708474
9,ad dabbah,18.05,30.95,83.17,20,41,9.31,SD,1698708321
10,adamstown,-25.066,-130.1015,73.51,72,100,8.14,PN,1698708477
11,port-aux-francais,-49.35,70.2167,37.29,94,99,39.75,TF,1698708429
12,grudki,53.0949,23.6685,50.25,87,100,5.86,PL,1698708479
13,kegen,43.0197,79.2203,43.25,58,100,2.26,KZ,1698708480
14,tazacorte,28.629,-17.9293,74.37,95,75,3.44,ES,1698708481
15,margaret river,-33.95,115.0667,51.93,80,70,12.84,AU,1698708482
16,chonchi,-42.6128,-73.8092,45.61,96,65,0.92,CL,1698708483
17,altai,46.3722,96.2583,32.99,69,62,9.89,MN,1698708484
18,arraial do cabo,-22.9661,-42.0278,75.06,88,0,6.91,BR,1698708486
19,tazovsky,67.4667,78.7,2.68,96,22,4.32,RU,1698708380
20,grytviken,-54.2811,-36.5092,38.07,80,12,9.1,GS,1698708488
21,patacamaya,-17.2333,-67.9167,57.74,45,38,9.84,BO,1698708489
22,pandan,14.0453,124.1694,82.78,80,100,20.71,PH,1698708490
23,nogliki,51.8333,143.1667,36.34,71,37,3.0,RU,1698708491
24,raufoss,60.7264,10.6172,27.05,76,100,7.87,NO,1698708492
25,amga,60.8953,131.9608,10.22,95,100,3.24,RU,1698708494
26,axim,4.8699,-2.2405,77.54,92,9,3.33,GH,1698708495
27,santiago de tolu,9.5239,-75.5814,83.73,75,56,8.34,CO,1698708496
28,stanley,54.868,-1.6985,48.79,93,40,3.44,GB,1698708455
29,ridgecrest,35.6225,-117.6709,67.68,11,0,4.0,US,1698708498
30,stiens,53.2623,5.7577,51.98,98,100,3.44,NL,1698708499
31,edinburgh of the seven seas,-37.0676,-12.3116,55.11,91,94,30.18,SH,1698708500
32,hithadhoo,-0.6,73.0833,80.38,80,33,9.8,MV,1698708501
33,darhan,49.4867,105.9228,23.49,81,71,6.08,MN,1698708503
34,shumikha,55.2261,63.2961,19.11,98,90,5.82,RU,1698708504
35,palmer,42.1584,-72.3287,50.41,86,75,3.44,US,1698708505
36,hermanus,-34.4187,19.2345,55.29,79,0,14.65,ZA,1698708506
37,klyuchi,52.2667,79.1667,42.84,92,100,9.6,RU,1698708507
38,bethel,41.3712,-73.414,53.49,86,100,4.61,US,1698708509
39,dudinka,69.4058,86.1778,2.62,97,100,1.99,RU,1698708510
40,nuuk,64.1835,-51.7216,48.81,29,100,21.85,GL,1698708511
41,waitangi,-43.9535,-176.5597,58.82,80,100,11.99,NZ,1698708512
42,zhu cheng city,35.995,119.4026,59.63,64,5,8.88,CN,1698708513
43,chul'man,56.8479,124.9104,-19.01,100,87,1.83,RU,1698708514
44,selfoss,63.9331,-20.9971,34.05,80,24,7.02,IS,1698708515
45,udachny,66.4167,112.4,-6.77,100,97,5.03,RU,1698708516
46,namibe,-15.1961,12.1522,64.36,83,0,3.67,AO,1698708518
47,enewetak,11.3474,162.3373,83.68,79,93,22.77,MH,1698708476
48,revda,56.801,59.9303,19.58,98,94,1.77,RU,1698708520
49,ribeira grande,38.5167,-28.7,67.77,81,6,15.99,PT,1698708442
50,lihue,21.9789,-159.3672,81.99,68,0,9.22,US,1698708296
51,spring creek,40.7266,-115.5859,50.88,17,1,4.32,US,1698708436
52,al burayqah,30.4062,19.5739,74.84,70,3,11.03,LY,1698708524
53,trairi,-3.2778,-39.2689,77.58,78,91,8.59,BR,1698708418
54,hadibu,12.65,54.0333,79.29,75,98,12.71,YE,1698708382
55,carnarvon,-24.8667,113.6333,69.58,72,0,19.1,AU,1698708485
56,yellowknife,62.456,-114.3525,32.41,95,75,3.44,CA,1698708529
57,menaka,15.9182,2.4022,85.17,10,4,10.33,ML,1698708530
58,medicine hat,50.0501,-110.6683,27.84,72,40,5.75,CA,1698708531
59,ust-nera,64.5667,143.2,3.45,100,100,3.42,RU,1698708526
60,salekhard,66.53,66.6019,9.99,97,100,1.79,RU,1698708533
61,freetown,8.484,-13.2299,80.31,78,40,6.91,SL,1698708534
62,porto novo,6.4965,2.6036,75.02,85,96,4.21,BJ,1698708535
63,sosnovo-ozerskoye,52.5249,111.5418,12.31,63,31,5.01,RU,1698708536
64,mana,5.6592,-53.7767,80.74,85,7,12.8,GF,1698708538
65,irece,-11.3042,-41.8558,82.63,24,43,11.79,BR,1698708539
66,papatowai,-46.5619,169.4708,59.61,60,100,4.76,NZ,1698708456
67,nampula,-15.1165,39.2666,75.15,78,40,11.5,MZ,1698708541
68,queenstown,-31.8976,26.8753,46.02,76,79,3.33,ZA,1698708541
69,bredasdorp,-34.5322,20.0403,56.8,75,0,13.18,ZA,1698708473
70,utrik,11.2278,169.8474,82.67,81,78,18.66,MH,1698708544
71,richards bay,-28.783,32.0377,58.91,80,96,7.36,ZA,1698708546
72,kayangel,8.0823,134.7173,83.34,75,31,6.91,PW,1698708547
73,keelung,25.1283,121.7419,75.06,85,37,9.8,TW,1698708548
74,albany,42.6001,-73.9662,45.64,82,100,1.99,US,1698708432
75,berdychiv,49.8993,28.6024,54.82,58,50,8.81,UA,1698708550
76,nelson bay,-32.7167,152.15,86.05,33,53,4.0,AU,1698708551
77,enriquillo,17.9,-71.2333,83.88,93,100,1.81,DO,1698708552
78,zheshart,62.0731,49.5733,23.63,93,100,1.14,RU,1698708554
79,yuzhno-kurilsk,44.0306,145.8556,46.38,76,55,8.93,RU,1698708555
80,akureyri,65.6835,-18.0878,17.53,93,0,0.0,IS,1698708442
81,ugoofaaru,5.6667,73.0,81.59,74,99,6.02,MV,1698708557
82,bogale,16.2833,95.4,74.97,94,100,6.08,MM,1698708558
83,lompoc,34.6391,-120.4579,80.69,30,0,12.66,US,1698708559
84,fort bragg,35.139,-79.006,78.64,59,0,6.91,US,1698708561
85,iqaluit,63.7506,-68.5145,10.13,72,75,18.41,CA,1698708432
86,isafjordur,66.0755,-23.124,35.49,73,79,5.1,IS,1698708466
87,tangalle,6.024,80.7911,76.17,89,72,2.53,LK,1698708564
88,tateyama,34.9833,139.8667,64.09,65,24,7.27,JP,1698708565
89,yazd,31.8972,54.3675,64.51,25,0,2.3,IR,1698708566
90,lampasas,31.2168,-98.2336,47.57,60,61,16.33,US,1698708568
91,saint-philippe,-21.3585,55.7679,72.99,86,55,4.43,RE,1698708569
92,iskateley,67.6803,53.1512,20.01,95,96,10.0,RU,1698708570
93,tibanbang,6.6315,126.1055,79.92,78,99,1.59,PH,1698708572
94,west island,-12.1568,96.8225,78.78,83,100,16.11,CC,1698708573
95,avarua,-21.2078,-159.775,78.85,69,75,14.97,CK,1698708523
96,puerto armuelles,8.2833,-82.8667,81.09,75,100,10.0,PA,1698708575
97,andorra,42.5,1.5,42.76,87,91,3.18,AD,1698708576
98,puerto ayora,-0.7393,-90.3518,75.54,91,100,4.0,EC,1698708577
99,melfort,52.8667,-104.6177,21.33,53,61,5.75,CA,1698708579
100,cockburn town,21.4612,-71.1419,83.52,81,42,9.84,TC,1698708537
101,papao,-17.75,-149.55,82.08,79,0,18.99,PF,1698708581
102,hawaiian paradise park,19.5933,-154.9731,79.9,86,62,5.01,US,1698708534
103,chefchaouene,35.1688,-5.2636,53.17,90,76,3.27,MA,1698708583
104,jamestown,42.097,-79.2353,42.39,89,100,13.8,US,1698708437
105,basoko,1.2391,23.616,75.02,90,84,1.92,CD,1698708585
106,blackmans bay,-43.0167,147.3167,55.53,74,20,1.99,AU,1698708587
107,longyearbyen,78.2186,15.6401,33.64,64,75,11.5,SJ,1698708548
108,calama,-22.4667,-68.9333,64.89,25,0,24.16,CL,1698708589
109,orthez,43.4884,-0.7724,54.77,80,14,4.59,FR,1698708590
110,east brainerd,34.9959,-85.1502,53.37,82,100,12.66,US,1698708591
111,tosno,59.54,30.8775,31.71,97,86,1.36,RU,1698708592
112,st. john's,47.5649,-52.7093,36.28,86,100,1.01,CA,1698708452
113,den burg,53.0542,4.7972,51.01,94,75,3.44,NL,1698708595
114,merizo village,13.2658,144.6691,84.76,91,98,14.76,GU,1698708596
115,adrar,20.5022,-10.0711,81.41,12,0,6.55,MR,1698708597
116,cidreira,-30.1811,-50.2056,66.72,97,100,8.25,BR,1698708598
117,iquitos,-3.7481,-73.2472,82.44,78,75,2.3,PE,1698708599
118,georgetown,5.4112,100.3354,80.53,92,20,5.01,MY,1698708391
119,remire-montjoly,4.9167,-52.2667,82.44,83,0,3.44,GF,1698708385
120,invercargill,-46.4,168.35,60.03,75,87,4.0,NZ,1698708603
121,fort dodge,42.4975,-94.168,37.4,41,0,12.66,US,1698708551
122,guerrero negro,27.9769,-114.0611,73.63,56,0,11.48,MX,1698708607
123,anadyr,64.75,177.4833,34.3,93,75,6.71,RU,1698708445
124,opuwo,-18.0607,13.84,67.03,18,1,4.92,NA,1698708609
125,eenhana,-17.4667,16.3333,67.69,14,0,5.17,NA,1698708610
126,bodaybo,57.8506,114.1933,14.77,53,99,3.29,RU,1698708517
127,puerto baquerizo moreno,-0.9,-89.6,73.35,80,99,15.52,EC,1698708611
128,calvinia,-31.4707,19.776,57.54,48,0,17.29,ZA,1698708614
129,hengchun,22.0042,120.7439,77.43,71,19,7.63,TW,1698708615
